Property Name,SBU,Brand,UID,REGULATOR,DEPARTMENT,CATEGORY,DOCTYPE,permitType,Renewable,Expiration,Ageing Type,Ageing Days,Active ItemID,Upload,Applicable,PM,OM,BH,Queued,Validated,Reject
28th West (Fort North or Fort) Carpark,EMG,Carpark,1002,BFP,Engineering,Government,Certificate,BFP | Fire Safety Inspection Certificate (FSIC) - Annual,-,-,-,-,-,No Upload,1.0,Michael Sanchez,Aris Pangilinan,Ivan C. Daguio,0,0,0
28th West (Fort North or Fort) Carpark,EMG,Carpark,1016,BIR,Finance,Government,Forms,BIR  | 2550 - Quarterly Value Added Tax Return (VAT),-,-,-,-,-,No Upload,1.0,Michael Sanchez,Aris Pangilinan,Ivan C. Daguio,0,0,0
28th West (Fort North or Fort) Carpark,EMG,Carpark,1019,BIR,Finance,Government,Certificate,BIR | BIR Permit - Certificate of Registration (COR),-,-,-,-,-,No Upload,1.0,Michael Sanchez,Aris Pangilinan,Ivan C. Daguio,0,0,0
28th West (Fort North or Fort) Carpark,EMG,Carpark,1020,BIR,Finance,Government,Forms,BIR  | Income Tax Return - Quarterly,-,-,-,-,-,No Upload,1.0,Michael Sanchez,Aris Pangilinan,Ivan C. Daguio,0,0,0
28th West (Fort North or Fort) Carpark,EMG,Carpark,1022,CGLI,Admin and Governance,Operation,INSURANCES,CGLI | Administrative Assistant Contract Comprehensive General Liability (CGLI),-,-,-,-,-,No Upload,1.0,Michael Sanchez,Aris Pangilinan,Ivan C. Daguio,0,0,0
28th West (Fort North or Fort) Carpark,EMG,Carpark,1024,CGLI,Admin and Governance,Operation,INSURANCES,CGLI | Carpark Attendant Comprehensive General Liability (CGLI),-,-,-,-,-,No Upload,1.0,Michael Sanchez,Aris Pangilinan,Ivan C. Daguio,0,0,0
28th West (Fort North or Fort) Carpark,EMG,Carpark,1026,CGLI,Admin and Governance,Operation,INSURANCES,CGLI | House Keeping Contract Comprehensive General Liability (CGLI),-,-,-,-,-,No Upload,1.0,Michael Sanchez,Aris Pangilinan,Ivan C. Daguio,0,0,0
28th West (Fort North or Fort) Carpark,EMG,Carpark,1027,CGLI,Admin and Governance,Operation,INSURANCES,CGLI | Maintenance Contract Comprehensive General Liability (CGLI),-,-,-,-,-,No Upload,1.0,Michael Sanchez,Aris Pangilinan,Ivan C. Daguio,0,0,0
28th West (Fort North or Fort) Carpark,EMG,Carpark,1030,CGLI,Admin and Governance,Operation,INSURANCES,CGLI | Security Contract Comprehensive General Liability (CGLI),-,-,-,-,-,No Upload,1.0,Michael Sanchez,Aris Pangilinan,Ivan C. Daguio,0,0,0
28th West (Fort North or Fort) Carpark,EMG,Carpark,1031,CONTRACTS,Admin and Governance,Operation,CONTRACTS,CONTRACT | Administrative Assistant Manpower Contract,-,-,-,-,-,No Upload,1.0,Michael Sanchez,Aris Pangilinan,Ivan C. Daguio,0,0,0
28th West (Fort North or Fort) Carpark,EMG,Carpark,1034,CONTRACTS,Admin and Governance,Operation,CONTRACTS,CONTRACT | Carpark Attendant Manpower Contract,-,-,-,-,-,No Upload,1.0,Michael Sanchez,Aris Pangilinan,Ivan C. Daguio,0,0,0
28th West (Fort North or Fort) Carpark,EMG,Carpark,1036,CONTRACTS,Admin and Governance,Operation,CONTRACTS,CONTRACT | House Keeping Manpower Contract,-,-,-,-,-,No Upload,1.0,Michael Sanchez,Aris Pangilinan,Ivan C. Daguio,0,0,0
28th West (Fort North or Fort) Carpark,EMG,Carpark,1037,CONTRACTS,Admin and Governance,Operation,CONTRACTS,CONTRACT | Maintenance Manpower Contract,-,-,-,-,-,No Upload,1.0,Michael Sanchez,Aris Pangilinan,Ivan C. Daguio,0,0,0
28th West (Fort North or Fort) Carpark,EMG,Carpark,1040,CONTRACTS,Admin and Governance,Operation,CONTRACTS,CONTRACT | Property Management Contract,-,-,-,-,-,No Upload,1.0,Michael Sanchez,Aris Pangilinan,Ivan C. Daguio,0,0,0
28th West (Fort North or Fort) Carpark,EMG,Carpark,1042,CONTRACTS,Admin and Governance,Operation,CONTRACTS,CONTRACT | Security Manpower Contract,-,-,-,-,-,No Upload,1.0,Michael Sanchez,Aris Pangilinan,Ivan C. Daguio,0,0,0
28th West (Fort North or Fort) Carpark,EMG,Carpark,1090,DOLE,Admin and Governance,Government,Report; received by DOLE,DOLE | Annual Wair_Administrative Assistant,-,-,-,-,-,No Upload,1.0,Michael Sanchez,Aris Pangilinan,Ivan C. Daguio,0,0,0
28th West (Fort North or Fort) Carpark,EMG,Carpark,1095,DOLE,Admin and Governance,Government,Report; received by DOLE,DOLE | Annual Wair_Housekeeping,-,-,-,-,-,No Upload,1.0,Michael Sanchez,Aris Pangilinan,Ivan C. Daguio,0,0,0
28th West (Fort North or Fort) Carpark,EMG,Carpark,1096,DOLE,Admin and Governance,Government,Report; received by DOLE,DOLE | Annual Wair_Maintenance,-,-,-,-,-,No Upload,1.0,Michael Sanchez,Aris Pangilinan,Ivan C. Daguio,0,0,0
28th West (Fort North or Fort) Carpark,EMG,Carpark,1099,DOLE,Admin and Governance,Government,Report; received by DOLE,DOLE | Annual Wair_Security,-,-,-,-,-,No Upload,1.0,Michael Sanchez,Aris Pangilinan,Ivan C. Daguio,0,0,0
28th West (Fort North or Fort) Carpark,EMG,Carpark,1100,DOLE,Admin and Governance,Government,Certificate,DOLE | DO 174_Administrative Assistant,-,-,-,-,-,No Upload,1.0,Michael Sanchez,Aris Pangilinan,Ivan C. Daguio,0,0,0
28th West (Fort North or Fort) Carpark,EMG,Carpark,1102,DOLE,Admin and Governance,Government,Certificate,DOLE | DO 174_Carpark Attendant,-,-,-,-,-,No Upload,1.0,Michael Sanchez,Aris Pangilinan,Ivan C. Daguio,0,0,0
