Property Name,SBU,Brand,UID,REGULATOR,DEPARTMENT,CATEGORY,DOCTYPE,permitType,Renewable,Expiration,Ageing Type,Ageing Days,Active ItemID,Upload,Applicable,PM,OM,BH,Queued,Validated,Reject
Amaia Scapes Bauan,RBG,AMAIA,1001,BFP,Engineering,Government,Certificate,BFP | Fire Drill Certificate,-,-,-,-,-,No Upload,1.0,Kristine Relosa,Marco Dolor,Cherry Octavo,0,0,0
Amaia Scapes Bauan,RBG,AMAIA,1002,BFP,Engineering,Government,Certificate,BFP | Fire Safety Inspection Certificate (FSIC) - Annual,-,-,-,-,-,No Upload,1.0,Kristine Relosa,Marco Dolor,Cherry Octavo,0,0,0
Amaia Scapes Bauan,RBG,AMAIA,1003,BFP,Engineering,Government,Certificate,BFP | Fire Safety Inspection Certificate (FSIC) - Occupancy,-,-,-,-,-,No Upload,1.0,Kristine Relosa,Marco Dolor,Cherry Octavo,0,0,0
Amaia Scapes Bauan,RBG,AMAIA,1006,BIR,Finance,Government,Forms,BIR | 0619-E - Monthly Remittance Form for Creditable Income Taxes Withheld (Expanded),-,-,-,-,-,No Upload,1.0,Kristine Relosa,Marco Dolor,Cherry Octavo,0,0,0
Amaia Scapes Bauan,RBG,AMAIA,1008,BIR,Finance,Government,Forms,BIR  | 1601-EQ - Quarterly Remittance Return,-,-,-,-,-,No Upload,1.0,Kristine Relosa,Marco Dolor,Cherry Octavo,0,0,0
Amaia Scapes Bauan,RBG,AMAIA,1010,BIR,Finance,Government,Forms,BIR  | 1604-E - Annual Information Return of Creditable Income Taxes Withheld (Expanded),-,-,-,-,-,No Upload,1.0,Kristine Relosa,Marco Dolor,Cherry Octavo,0,0,0
Amaia Scapes Bauan,RBG,AMAIA,1011,BIR,Finance,Government,Forms,BIR  | 1702RT - Annual Income Tax Return,-,-,-,-,-,No Upload,1.0,Kristine Relosa,Marco Dolor,Cherry Octavo,0,0,0
Amaia Scapes Bauan,RBG,AMAIA,1014,BIR,Finance,Government,Forms,BIR  | 1905 Loose leaf - Annual Registration of Books of Accounts,-,-,-,-,-,No Upload,1.0,Kristine Relosa,Marco Dolor,Cherry Octavo,0,0,0
Amaia Scapes Bauan,RBG,AMAIA,1016,BIR,Finance,Government,Forms,BIR  | 2550 - Quarterly Value Added Tax Return (VAT),-,-,-,-,-,No Upload,1.0,Kristine Relosa,Marco Dolor,Cherry Octavo,0,0,0
Amaia Scapes Bauan,RBG,AMAIA,1019,BIR,Finance,Government,Certificate,BIR | BIR Permit - Certificate of Registration (COR),-,-,-,-,-,No Upload,1.0,Kristine Relosa,Marco Dolor,Cherry Octavo,0,0,0
Amaia Scapes Bauan,RBG,AMAIA,1020,BIR,Finance,Government,Forms,BIR  | Income Tax Return - Quarterly,-,-,-,-,-,No Upload,1.0,Kristine Relosa,Marco Dolor,Cherry Octavo,0,0,0
Amaia Scapes Bauan,RBG,AMAIA,1022,CGLI,Admin and Governance,Operation,INSURANCES,CGLI | Administrative Assistant Contract Comprehensive General Liability (CGLI),-,-,-,-,-,No Upload,1.0,Kristine Relosa,Marco Dolor,Cherry Octavo,0,0,0
Amaia Scapes Bauan,RBG,AMAIA,1027,CGLI,Admin and Governance,Operation,INSURANCES,CGLI | Maintenance Contract Comprehensive General Liability (CGLI),-,-,-,-,-,No Upload,1.0,Kristine Relosa,Marco Dolor,Cherry Octavo,0,0,0
Amaia Scapes Bauan,RBG,AMAIA,1030,CGLI,Admin and Governance,Operation,INSURANCES,CGLI | Security Contract Comprehensive General Liability (CGLI),-,-,-,-,-,No Upload,1.0,Kristine Relosa,Marco Dolor,Cherry Octavo,0,0,0
Amaia Scapes Bauan,RBG,AMAIA,1031,CONTRACTS,Admin and Governance,Operation,CONTRACTS,CONTRACT | Administrative Assistant Manpower Contract,-,-,-,-,-,No Upload,1.0,Kristine Relosa,Marco Dolor,Cherry Octavo,0,0,0
Amaia Scapes Bauan,RBG,AMAIA,1037,CONTRACTS,Admin and Governance,Operation,CONTRACTS,CONTRACT | Maintenance Manpower Contract,-,-,-,-,-,No Upload,1.0,Kristine Relosa,Marco Dolor,Cherry Octavo,0,0,0
Amaia Scapes Bauan,RBG,AMAIA,1040,CONTRACTS,Admin and Governance,Operation,CONTRACTS,CONTRACT | Property Management Contract,-,-,-,-,-,No Upload,1.0,Kristine Relosa,Marco Dolor,Cherry Octavo,0,0,0
Amaia Scapes Bauan,RBG,AMAIA,1042,CONTRACTS,Admin and Governance,Operation,CONTRACTS,CONTRACT | Security Manpower Contract,-,-,-,-,-,No Upload,1.0,Kristine Relosa,Marco Dolor,Cherry Octavo,0,0,0
Amaia Scapes Bauan,RBG,AMAIA,1044,DENR,Engineering,Government,Report,DENR | Compliance Monitoring Report (CMR),-,-,-,-,-,No Upload,1.0,Kristine Relosa,Marco Dolor,Cherry Octavo,0,0,0
Amaia Scapes Bauan,RBG,AMAIA,1045,DENR,Engineering,Government,Report,DENR | DENR Self Monitoring Report  (SMR),-,-,-,-,-,No Upload,1.0,Kristine Relosa,Marco Dolor,Cherry Octavo,0,0,0
Amaia Scapes Bauan,RBG,AMAIA,1046,DENR,Engineering,Government,Certificate,DENR | Discharge Permit - Annual,-,-,-,-,-,No Upload,1.0,Kristine Relosa,Marco Dolor,Cherry Octavo,0,0,0
Amaia Scapes Bauan,RBG,AMAIA,1052,DENR,Engineering,Government,Permit,DENR | Haz-Waste Gen ID (start with OL-G),-,-,-,-,-,No Upload,1.0,Kristine Relosa,Marco Dolor,Cherry Octavo,0,0,0
Amaia Scapes Bauan,RBG,AMAIA,1053,DENR,Engineering,Government,Report,DENR | Haz-Waste ID,-,-,-,-,-,No Upload,1.0,Kristine Relosa,Marco Dolor,Cherry Octavo,0,0,0
Amaia Scapes Bauan,RBG,AMAIA,1054,DENR,Engineering,Government,Room,DENR | HazWaste Room,-,-,-,-,-,No Upload,1.0,Kristine Relosa,Marco Dolor,Cherry Octavo,0,0,0
Amaia Scapes Bauan,RBG,AMAIA,1055,DENR,Engineering,Government,Certificate,DENR | HOA/Condo Corp ECC,-,-,-,-,-,No Upload,1.0,Kristine Relosa,Marco Dolor,Cherry Octavo,0,0,0
Amaia Scapes Bauan,RBG,AMAIA,1056,DENR,Engineering,Government,Permit,DENR | Managing Head,-,-,-,-,-,No Upload,1.0,Kristine Relosa,Marco Dolor,Cherry Octavo,0,0,0
Amaia Scapes Bauan,RBG,AMAIA,1057,DENR,Engineering,Government,Room,DENR | MRF Room,-,-,-,-,-,No Upload,1.0,Kristine Relosa,Marco Dolor,Cherry Octavo,0,0,0
Amaia Scapes Bauan,RBG,AMAIA,1074,DENR,Engineering,Government,Certificate; with appointment letter ; application form,DENR | Property Pollution Control Officer (PCO),-,-,-,-,-,No Upload,1.0,Kristine Relosa,Marco Dolor,Cherry Octavo,0,0,0
Amaia Scapes Bauan,RBG,AMAIA,1085,DENR,Engineering,Government,Test Result,DENR | Water Discharge (Effluent Test result),-,-,-,-,-,No Upload,1.0,Kristine Relosa,Marco Dolor,Cherry Octavo,0,0,0
